  0.1,     978,      7.64811701
  0.2,     481,      3.80008164
  0.4,     282,      1.91791000
  0.6,     162,      1.30128913
  0.8,     223,      1.01531093
  1.0,     149,      0.82962414
  1.2,     104,      0.72023991
  1.4,     117,      0.63465686
  1.6,     116,      0.58492829
  1.8,     192,      0.54160224
  2.0,      89,      0.51064936
  4.0,     102,      0.43435042
   10,     295,      0.64622875
   20,     593,      1.10026764
   40,     764,      1.75872259
   50,     771,      1.93075586
  100,     895,      2.23902172
  200,     887,      2.23744366
  300,     862,      2.24859722
  100,     895,      2.23902172
10000,     954,      2.28671076
