  0.1,   13712,    187.51759987
  0.2,    9695,    108.87929722
  0.4,    6274,     53.76060541
  0.6,    4489,     35.24664869
  0.8,    4222,     27.31889412
  1.0,    3273,     23.20495176
  1.2,    2766,     18.10551413
  1.4,    2609,     16.80640870
  1.6,    2155,     14.14836347
  1.8,    2172,     12.56544904
  2.0,    1813,     11.30165351
  4.0,    1252,      6.09308807
   10,     548,      2.54129921
   20,     379,      1.60675452
   40,     313,      1.27564149
   50,     332,      1.26091695
  100,     271,      1.22758810
  200,     328,      1.24665315
  300,     400,      1.25608526
  100,     271,      1.22758810
10000,     325,      1.23470749
